2015\09,16,0,0,0,2,7,0,0,0,0
2015\10,1,0,0,0,0,1,0,0,0,0
2015\11,12,0,0,0,0,0,0,0,0,2
2015\12,6,0,0,0,0,0,0,0,0,1
2016\01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016\02,6,0,0,0,0,2,0,0,0,0
2016\03,58,0,0,0,0,6,0,2,0,3
2016\04,37,0,0,0,0,4,2,0,0,0
2016\05,46,0,0,0,2,5,0,0,0,0
2016\06,7,0,0,0,2,0,0,0,0,0
2016\07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016\08,1,0,0,0,1,0,0,0,0,0
2016\09,3,0,0,0,0,1,0,0,0,0
2016\10,12,0,0,0,0,2,2,1,0,0
2016\11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016\12,3,0,0,0,1,1,0,0,0,0
2017\01,4,0,0,0,0,0,2,0,0,0
2017\02,43,0,0,0,0,10,3,0,0,1
2017\03,33,0,0,0,3,4,1,0,0,0
2017\04,2,0,0,0,0,2,0,0,0,0
2017\05,2,0,0,0,1,0,0,0,0,0
2017\06,11,0,0,0,1,0,0,0,0,1
2017\07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017\08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017\09,28,0,0,0,2,1,1,0,0,2
2017\10,249,0,0,0,1,9,4,2,0,1
2017\11,50,0,0,0,0,2,0,0,0,1
2017\12,28,0,0,0,4,1,0,0,0,2
2018\01,6,0,0,0,0,0,2,0,0,0
2018\02,16,0,0,0,4,0,0,0,0,0
2018\03,23,0,0,0,4,2,2,0,0,0
2018\04,6,0,0,0,0,3,0,0,0,0
2018\05,13,0,0,0,0,6,0,0,0,0
2018\06,28,0,0,0,0,8,0,0,0,0
2018\07,32,0,0,0,0,7,1,0,0,0
2018\08,10,0,0,0,0,2,0,0,0,0
