2015\09,43,0,6,0,11,0,0,0,0,1
2015\10,40,0,4,0,10,0,0,0,0,0
2015\11,53,0,6,2,9,0,0,0,0,2
2015\12,11,0,0,1,4,1,0,0,0,1
2016\01,4,0,0,0,2,1,0,0,0,0
2016\02,250,0,0,19,69,9,0,0,0,9
2016\03,151,0,0,8,52,4,0,0,0,11
2016\04,53,0,0,2,21,1,0,0,0,8
2016\05,38,0,0,1,15,0,0,0,0,10
2016\06,51,0,0,2,16,0,0,0,0,7
2016\07,67,0,5,0,10,2,0,0,0,3
2016\08,36,1,4,1,8,2,0,0,0,0
2016\09,65,0,0,0,12,8,0,0,0,4
2016\10,15,0,0,0,6,5,0,0,0,0
2016\11,13,0,0,2,3,1,0,0,0,0
2016\12,3,0,0,0,2,0,0,0,0,0
2017\01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017\02,474,0,21,0,81,0,0,0,0,29
2017\03,236,0,7,0,46,2,0,0,0,28
2017\04,14,0,1,1,4,0,0,0,0,2
2017\05,22,2,1,1,6,0,0,0,0,2
2017\06,31,0,0,2,6,6,0,0,0,1
2017\07,18,0,0,4,5,0,0,0,0,1
2017\08,23,0,0,4,7,3,0,0,0,2
2017\09,29,0,0,2,11,1,0,0,0,2
2017\10,69,0,2,1,12,4,3,0,0,2
2017\11,8,0,0,0,3,0,0,0,0,0
2017\12,12,0,0,0,3,0,0,0,0,2
2018\01,3,0,0,1,1,0,0,0,0,0
2018\02,75,0,2,2,24,4,0,0,0,7
2018\03,227,0,0,19,67,8,0,0,0,17
2018\04,42,0,0,5,12,1,0,0,0,4
2018\05,78,0,0,9,23,1,0,0,0,6
2018\06,51,0,4,12,12,0,0,0,0,4
2018\07,38,0,0,9,11,3,0,0,0,1
2018\08,63,0,1,7,10,0,0,0,0,5
